id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
11208432,78729,100,"Routine Inspection","13300 MORRIS RD AUSTIN, TX 78729 ","Austin Miracle League",2014-12-28T00:00:00Z,30.461555,-97.768292,1,range_interpolation,13300,"Morris Rd",Austin,TX,"Williamson County",78729,US
11210966,78744,100,"Routine Inspection","3913 TODD LN Unit 203 AUSTIN, TX 78744 ","Pie Plante",2014-12-28T00:00:00Z,30.213447,-97.735978,1,range_interpolation,3913,"Todd Ln",Austin,TX,"Travis County",78744,US
11211426,78756,93,"Routine Inspection","1112 W KOENIG LN AUSTIN, TX 78756 ","Snappy Mart #1",2014-12-28T00:00:00Z,30.32978,-97.728922,1,range_interpolation,1112,"W Koenig Ln",Austin,TX,"Travis County",78756,US
11211465,78756,93,"Routine Inspection","5520 BURNET RD Unit 100 AUSTIN, TX 78756 ","The Peached Tortilla",2014-12-28T00:00:00Z,30.330304,-97.740055,1,range_interpolation,5520,"Burnet Rd",Austin,TX,"Travis County",78756,US
11213012,78705,92,"Routine Inspection","3300 N IH 35 SVRD SB Unit 800 AUSTIN, TX 78705 ","Guckenheimer @ Google University Park",2014-12-28T00:00:00Z,30.299968,-97.736134,0.8,street_center,,"W 35th St",Austin,TX,"Travis County",78705,US
11213148,78702,98,"Routine Inspection","2600 E CESAR CHAVEZ ST AUSTIN, TX 78702 ","Unsweet Tea",2015-12-27T00:00:00Z,30.254066,-97.71541,1,range_interpolation,2600,"E Cesar Chavez St",Austin,TX,"Travis County",78702,US
11213534,78757,73,"Routine Inspection","8820 BURNET RD Unit 502 AUSTIN, TX 78757 ","Pars Supermarket",2015-12-27T00:00:00Z,30.371015,-97.727093,1,range_interpolation,8820,"Burnet Rd",Austin,TX,"Travis County",78757,US
11213565,78738,100,"Routine Inspection","300 MEDICAL PKWY LAKEWAY, TX 78738 ","LW - Harbor at Lakeway, The",2014-12-28T00:00:00Z,30.307497,-97.742994,0.8,street_center,,"Medical Pkwy",Austin,TX,"Travis County",78756,US
11213569,78704,91,"Routine Inspection","2159 S LAMAR BLVD AUSTIN, TX 78704 ","Patika Coffee, LLC",2015-12-27T00:00:00Z,30.247604,-97.772185,1,range_interpolation,2159,"S Lamar Blvd",Austin,TX,"Travis County",78704,US
11214020,78704,95,"Routine Inspection","208 BARTON SPRINGS RD AUSTIN, TX 78704 ","Starbucks Coffee",2015-12-27T00:00:00Z,30.259086,-97.746891,1,range_interpolation,208,"Barton Springs Rd",Austin,TX,"Travis County",78704,US
11215168,78746,92,"Routine Inspection","8947 FM 2244 RD Unit 201 AUSTIN, TX 78746 ","River Hills Pizza",2015-12-27T00:00:00Z,30.318382,-97.862439,1,range_interpolation,8947,"Fm 2244",Austin,TX,"Travis County",78746,US
11216014,78702,84,"Routine Inspection","2001 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",Drinks,2014-12-28T00:00:00Z,30.256513,-97.723326,1,range_interpolation,2001,"E Cesar Chavez St",Austin,TX,"Travis County",78702,US
